topic	keywords
Plug-in add-on	add blocker
Plug-in add-on	add on
Plug-in add-on	addon
Plug-in add-on	add-on
Plug-in add-on	flash
Plug-in add-on	java
Plug-in add-on	plug in
Plug-in add-on	plug-in
Plug-in add-on	plugin
security	certificate
security	blocked,security
security	google,not secure
security	network,not trusted
security	link
security	not trusted
security	insecure login information
security	secure connection failed
security	security
web incompatibility	page,not show
web incompatibility	refuse,load
web incompatibility	fail,load
web incompatibility	not loading
web incompatibility	banking site
web incompatibility	problems with certain sites
web incompatibility	communication with sites
web incompatibility	site connection problem
web incompatibility	website,blocked
web incompatibility	incompatibility,site
web incompatibility	not able,access,site 
web incompatibility	404
web incompatibility	page,do not load
web incompatibility	stopped opening
web incompatibility	problem,accessing,website
web incompatibility	webcompat
web incompatibility	web compatibility
Firefox crash	crash
Firefox crash	not,respon
Firefox crash	stop,work
Firefox crash	freez
Firefox crash	connect
Firefox slow	slow
Firefox slow	_load
Firefox slow	unsteady
Firefox slow	refresh
History & bookmarks	delet,bookmark
History & bookmarks	vanish,bookmark
History & bookmarks	transfer,bookmark
History & bookmarks	restore,bookmark
History & bookmarks	lost,bookmark
History & bookmarks	recreate,bookmark
History & bookmarks	save,bookmark
History & bookmarks	clear,history
History & bookmarks	delet,history
History & bookmarks	export,bookmark
History & bookmarks	gone,bookmark
History & bookmarks	gone,history
History & bookmarks	disappeared,bookmark
History & bookmarks	disappeared,history
History & bookmarks	not work,bookmark
History & bookmarks	change,bookmark
Updates	update
Updates	change,setting
Updates	upgrad
Antivirus	kaspersky
Antivirus	norton
Antivirus	nod32
Antivirus	avg
Antivirus	avast
Antivirus	sophos
Antivirus	symantec
Antivirus	mcafee
Antivirus	avira
Antivirus	quick heal
Antivirus	antivirus
Antivirus	bitdefender
Tabs	restore ,tab
Tabs	lost,tab
Unsupported customization	about,config
Unsupported customization	prefs
Unsupported customization	preferences
Unsupported customization	userChrome.css
Others_roland	firewall
Others_roland	dns
Others_roland	wifi
Search Engine	yahoo
Search Engine	search engine reset
Search Engine	search engine
Search Engine	set ,search engine
Search Engine	customize,search engine
Search Engine	customise,search engine
Search Engine	duckduckgo
Firefox Accounts	sync
Firefox Accounts	verification,email
Firefox Accounts	login
Firefox Accounts	password reset
Firefox Accounts	password,reset
Firefox Accounts	firefox account
Pocket	new,tab
Pocket	advertising
Pocket	set,home page
Pocket	set,homepage
Pocket	pocket
Pocket	recommended by,pocket
Pocket	pocket,stories
Pocket	hide,content
Pocket	display,content
Pocket	newtab
Pocket	top site
Pocket	topsite
Pocket	pocket,recommendation
Privacy	pbm
Privacy	tracking protection
Privacy	content blocking
Privacy	trackingprotection
Privacy	private browsing
Privacy	privacy
Video	video
Video	av1
Video	h264
Video	x264
Video	x265
Video	mp4
Video	h.264
Video	ogg
Video	vorbis
Video	webm
Video	vp8
Video	vp9
Video	mpeg
Video	h264
Video	h.264
Graphics Drivers	opengl
Graphics Drivers	webgl
Graphics Drivers	nvidia
Graphics Drivers	amd
Graphics Drivers	gpu
Graphics Drivers	hardware acceleration
Graphics Drivers	radeon
Graphics Drivers	geforce
Graphics Drivers	display driver
Graphics Drivers	direct3D
